arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	OK	0.016025	True	0.024585	0.044370	0.8874
dsl	0	2	OK	0.016025	False	0.024705	0.046095	0.9582
dsl	0	3	OK	0.016025	False	0.024990	0.044370	1.0276
dsl	0	4	OK	0.016025	False	0.025275	0.045345	1.0982
dsl	0	5	OK	0.016025	False	0.025440	0.044370	1.1680
dsl	1	1	OK	0.016025	True	0.025635	0.051030	1.2447
dsl	1	2	OK	0.016025	False	0.024705	0.044370	1.3137
dsl	1	3	OK	0.016025	False	0.024990	0.044370	1.3831
dsl	1	4	OK	0.016025	False	0.025275	0.046245	1.4546
dsl	1	5	OK	0.016025	False	0.025440	0.045345	1.5254
dsl	2	1	OK	0.016025	True	0.024585	0.046245	1.5962
dsl	2	2	OK	0.016025	False	0.024705	0.046245	1.6672
dsl	2	3	OK	0.016025	False	0.024990	0.044370	1.7365
dsl	2	4	OK	0.016025	False	0.025275	0.044370	1.8062
dsl	2	5	OK	0.016025	False	0.025440	0.044370	1.8760
dsl	3	1	OK	0.016025	True	0.024585	0.046245	1.9468
dsl	3	2	OK	0.016025	False	0.024705	0.043620	2.0151
dsl	3	3	OK	0.016025	False	0.024990	0.044370	2.0845
dsl	3	4	OK	0.160850	True	0.025275	0.049995	2.1598
dsl	3	5	OK	0.016025	False	0.025440	0.044370	2.2296
