arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	RUNTIME_FAIL	0.000000	False	0.024570	0.008550	3.6059
english	0	2	RUNTIME_FAIL	0.000000	False	0.022200	0.029790	3.6579
english	0	3	RUNTIME_FAIL	0.000000	False	0.026370	0.008580	3.6928
english	0	4	RUNTIME_FAIL	0.000000	False	0.026190	0.042600	3.7616
english	0	5	RUNTIME_FAIL	0.000000	False	0.023655	0.043035	3.8283
english	1	1	RUNTIME_FAIL	0.000000	False	0.024345	0.035580	3.8882
english	1	2	RUNTIME_FAIL	0.000000	False	0.023325	0.007740	3.9193
english	1	3	RUNTIME_FAIL	0.000000	False	0.025020	0.029910	3.9742
english	1	4	RUNTIME_FAIL	0.000000	False	0.025815	0.028200	4.0283
english	1	5	RUNTIME_FAIL	0.000000	False	0.025755	0.008580	4.0626
english	2	1	RUNTIME_FAIL	0.000000	False	0.026745	0.030210	4.1195
english	2	2	RUNTIME_FAIL	0.000000	False	0.024300	0.029385	4.1732
english	2	3	RUNTIME_FAIL	0.000000	False	0.027945	0.032445	4.2336
english	2	4	RUNTIME_FAIL	0.000000	False	0.026640	0.008790	4.2690
english	2	5	RUNTIME_FAIL	0.000000	False	0.024555	0.045840	4.3394
english	3	1	RUNTIME_FAIL	0.000000	False	0.023895	0.029940	4.3933
english	3	2	RUNTIME_FAIL	0.000000	False	0.026175	0.029910	4.4494
english	3	3	RUNTIME_FAIL	0.000000	False	0.026745	0.033930	4.5100
english	3	4	RUNTIME_FAIL	0.000000	False	0.024240	0.008460	4.5427
english	3	5	RUNTIME_FAIL	0.000000	False	0.025830	0.033795	4.6024
