arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	OK	2.518170	True	0.024780	0.082320	10.8319
english	0	2	OK	2.520486	True	0.026250	0.089565	10.9477
english	0	3	OK	2.563748	True	0.024510	0.094785	11.0670
english	0	4	OK	2.576589	True	0.025320	0.103065	11.1954
english	0	5	RUNTIME_FAIL	0.000000	False	0.027435	0.115005	11.3378
english	0	6	OK	2.612662	True	0.026370	0.088155	11.4524
english	1	1	RUNTIME_FAIL	0.000000	False	0.024780	0.095895	11.5730
english	1	2	RUNTIME_FAIL	0.000000	False	0.026160	0.083985	11.6832
english	1	3	OK	2.515753	True	0.025530	0.051840	11.7606
english	1	4	RUNTIME_FAIL	0.000000	False	0.027090	0.085320	11.8730
english	1	5	RUNTIME_FAIL	0.000000	False	0.025905	0.084825	11.9837
english	1	6	OK	2.407375	False	0.025755	0.093420	12.1029
english	2	1	OK	2.573634	True	0.023880	0.069090	12.1958
english	2	2	OK	2.547689	False	0.024750	0.068940	12.2895
english	2	3	OK	2.524581	False	0.026835	0.113175	12.4295
english	2	4	OK	2.381155	False	0.025995	0.079725	12.5353
english	2	5	OK	2.578510	True	0.026235	0.100815	12.6623
english	2	6	OK	2.434728	False	0.027135	0.097245	12.7867
english	3	1	COMPILE_FAIL	0.000000	False	0.025080	0.119355	12.9311
english	3	2	OK	2.654679	True	0.024735	0.050325	13.0062
english	3	3	OK	2.651511	False	0.026445	0.094710	13.1273
english	3	4	OK	2.534613	False	0.025755	0.109890	13.2630
english	3	5	OK	2.513228	False	0.024135	0.104745	13.3919
english	3	6	RUNTIME_FAIL	0.000000	False	0.026085	0.105660	13.5236
english	4	1	RUNTIME_FAIL	0.000000	False	0.026055	0.092250	13.6419
english	4	2	OK	2.508680	True	0.025260	0.049005	13.7162
english	4	3	OK	2.585054	True	0.025245	0.080220	13.8216
english	4	4	OK	2.550181	False	0.026205	0.090180	13.9380
english	4	5	OK	2.654508	True	0.026235	0.093990	14.0583
english	4	6	OK	2.628473	False	0.025785	0.080100	14.1641
