arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	RUNTIME_FAIL	-1.000000	False	0.030225	0.055755	3.8794
dsl	0	2	RUNTIME_FAIL	-1.000000	False	0.030405	0.056505	3.9663
dsl	0	3	RUNTIME_FAIL	-1.000000	False	0.030750	0.055680	4.0527
dsl	0	4	RUNTIME_FAIL	-1.000000	False	0.031095	0.053505	4.1373
dsl	0	5	RUNTIME_FAIL	-1.000000	False	0.031260	0.059130	4.2277
dsl	0	6	RUNTIME_FAIL	-1.000000	False	0.031260	0.055830	4.3148
dsl	1	1	RUNTIME_FAIL	-1.000000	False	0.030225	0.055755	4.4008
dsl	1	2	RUNTIME_FAIL	-1.000000	False	0.030405	0.055755	4.4869
dsl	1	3	RUNTIME_FAIL	-1.000000	False	0.030750	0.055755	4.5734
dsl	1	4	RUNTIME_FAIL	-1.000000	False	0.031095	0.055755	4.6603
dsl	1	5	RUNTIME_FAIL	-1.000000	False	0.031260	0.056505	4.7481
dsl	1	6	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	4.8351
dsl	2	1	RUNTIME_FAIL	-1.000000	False	0.030225	0.055755	4.9210
dsl	2	2	RUNTIME_FAIL	-1.000000	False	0.030405	0.055755	5.0072
dsl	2	3	RUNTIME_FAIL	-1.000000	False	0.030750	0.055755	5.0937
dsl	2	4	RUNTIME_FAIL	-1.000000	False	0.031095	0.056505	5.1813
dsl	2	5	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	5.2683
dsl	2	6	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	5.3553
dsl	3	1	RUNTIME_FAIL	-1.000000	False	0.030225	0.056505	5.4421
dsl	3	2	RUNTIME_FAIL	-1.000000	False	0.030405	0.058380	5.5309
dsl	3	3	RUNTIME_FAIL	-1.000000	False	0.030750	0.056505	5.6181
dsl	3	4	RUNTIME_FAIL	-1.000000	False	0.031095	0.058380	5.7076
dsl	3	5	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	5.7946
dsl	3	6	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	5.8816
dsl	4	1	RUNTIME_FAIL	-1.000000	False	0.030225	0.055755	5.9676
dsl	4	2	RUNTIME_FAIL	-1.000000	False	0.030405	0.055755	6.0538
dsl	4	3	RUNTIME_FAIL	-1.000000	False	0.030750	0.055755	6.1403
dsl	4	4	RUNTIME_FAIL	-1.000000	False	0.031095	0.055755	6.2271
dsl	4	5	RUNTIME_FAIL	-1.000000	False	0.031260	0.056505	6.3149
dsl	4	6	RUNTIME_FAIL	-1.000000	False	0.031260	0.055755	6.4019
