arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	OK	-0.000000	True	0.022380	0.038835	8.8428
english	0	2	RUNTIME_FAIL	-1.000000	False	0.019650	0.029940	8.8924
english	0	3	OK	-0.000000	False	0.023595	0.028935	8.9449
english	0	4	RUNTIME_FAIL	-1.000000	False	0.025530	0.036540	9.0070
english	0	5	RUNTIME_FAIL	-1.000000	False	0.023880	0.043215	9.0741
english	0	6	RUNTIME_FAIL	-1.000000	False	0.025005	0.028140	9.1272
english	1	1	RUNTIME_FAIL	-1.000000	False	0.023505	0.036585	9.1873
english	1	2	OK	0.000000	True	0.023610	0.048045	9.2589
english	1	3	RUNTIME_FAIL	-1.000000	False	0.023145	0.041520	9.3236
english	1	4	RUNTIME_FAIL	-1.000000	False	0.024165	0.030405	9.3782
english	1	5	RUNTIME_FAIL	-1.000000	False	0.024255	0.023415	9.4258
english	1	6	RUNTIME_FAIL	-1.000000	False	0.023340	0.034695	9.4839
english	2	1	RUNTIME_FAIL	-1.000000	False	0.023430	0.032745	9.5401
english	2	2	OK	-0.000000	True	0.023235	0.043920	9.6072
english	2	3	RUNTIME_FAIL	-1.000000	False	0.025620	0.036990	9.6698
english	2	4	RUNTIME_FAIL	-1.000000	False	0.026040	0.033030	9.7289
english	2	5	OK	-0.000000	True	0.025830	0.036405	9.7911
english	2	6	RUNTIME_FAIL	-1.000000	False	0.024630	0.029040	9.8448
english	3	1	RUNTIME_FAIL	-1.000000	False	0.022680	0.030720	9.8982
english	3	2	OK	0.000000	True	0.024510	0.029025	9.9517
english	3	3	OK	0.000000	True	0.022845	0.034485	10.0091
english	3	4	OK	0.000000	True	0.024855	0.033330	10.0672
english	3	5	RUNTIME_FAIL	-1.000000	False	0.022860	0.027885	10.1180
english	3	6	RUNTIME_FAIL	-1.000000	False	0.025170	0.035685	10.1788
english	4	1	RUNTIME_FAIL	-1.000000	False	0.023130	0.041460	10.2434
english	4	2	RUNTIME_FAIL	-1.000000	False	0.024360	0.031845	10.2996
english	4	3	RUNTIME_FAIL	-1.000000	False	0.025155	0.029085	10.3539
english	4	4	RUNTIME_FAIL	-1.000000	False	0.023025	0.035040	10.4119
english	4	5	RUNTIME_FAIL	-1.000000	False	0.025290	0.024510	10.4617
english	4	6	OK	0.000000	True	0.024540	0.044235	10.5305
