arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	OK	1112.627537	True	0.039075	0.042510	0.8948
dsl	0	2	OK	726.771853	False	0.039660	0.042825	0.9773
dsl	0	3	OK	918.822440	False	0.037995	0.041085	1.0564
dsl	0	4	OK	904.266176	False	0.038205	0.041820	1.1364
dsl	0	5	OK	611.205500	False	0.040905	0.043680	1.2210
dsl	1	1	OK	528.888484	True	0.040275	0.043950	1.3052
dsl	1	2	OK	955.213816	True	0.037920	0.041355	1.3845
dsl	1	3	OK	715.720455	False	0.041580	0.044655	1.4707
dsl	1	4	OK	553.031304	False	0.041190	0.044070	1.5560
dsl	1	5	OK	847.666984	False	0.038355	0.040845	1.6352
dsl	2	1	OK	528.888484	True	0.040275	0.043950	1.7194
dsl	2	2	OK	649.199344	True	0.039495	0.042645	1.8016
dsl	2	3	OK	809.369978	True	0.041580	0.044805	1.8880
dsl	2	4	OK	804.646597	False	0.042690	0.045645	1.9763
dsl	2	5	OK	503.632113	False	0.038880	0.041625	2.0568
dsl	3	1	OK	661.150656	True	0.040350	0.043890	2.1410
dsl	3	2	OK	780.688077	True	0.040470	0.043815	2.2253
dsl	3	3	OK	760.005927	False	0.042555	0.045825	2.3137
dsl	3	4	OK	943.799633	True	0.038340	0.041175	2.3932
dsl	3	5	OK	693.377658	False	0.042480	0.045420	2.4811
