arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	OK	292.268693	True	0.025920	0.017175	4.8341
english	0	2	OK	292.268693	False	0.022440	0.015555	4.8721
english	0	3	OK	467.416606	True	0.022575	0.016425	4.9111
english	0	4	RUNTIME_FAIL	0.000000	False	0.021585	0.061545	4.9943
english	0	5	OK	462.944396	False	0.021060	0.055995	5.0713
english	1	1	OK	292.268693	True	0.025995	0.064590	5.1619
english	1	2	OK	292.268693	False	0.023715	0.018960	5.2046
english	1	3	OK	467.416606	True	0.019200	0.060525	5.2843
english	1	4	OK	424.921271	False	0.022860	0.015375	5.3225
english	1	5	OK	292.268693	False	0.022425	0.058605	5.4036
english	2	1	OK	292.268693	True	0.025845	0.016260	5.4457
english	2	2	OK	292.268693	False	0.022215	0.018435	5.4863
english	2	3	OK	424.921271	True	0.022650	0.061815	5.5708
english	2	4	OK	424.921271	False	0.022185	0.018165	5.6111
english	2	5	OK	292.268693	False	0.021600	0.063615	5.6964
english	3	1	OK	907.357503	True	0.026145	0.017070	5.7396
english	3	2	OK	292.268693	False	0.021390	0.016545	5.7775
english	3	3	OK	494.922274	False	0.020925	0.016095	5.8145
english	3	4	OK	292.268693	False	0.020760	0.016080	5.8514
english	3	5	OK	292.268693	False	0.022575	0.015435	5.8894
