arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	RUNTIME_FAIL	1.000000	False	0.034290	0.093915	4.9784
dsl	0	2	RUNTIME_FAIL	1.000000	False	0.033495	0.080295	5.0922
dsl	0	3	RUNTIME_FAIL	1.000000	False	0.033840	0.093045	5.2191
dsl	0	4	RUNTIME_FAIL	1.000000	False	0.034185	0.079020	5.3323
dsl	0	5	RUNTIME_FAIL	1.000000	False	0.034350	0.077970	5.4446
dsl	0	6	RUNTIME_FAIL	1.000000	False	0.034350	0.104445	5.5834
dsl	1	1	RUNTIME_FAIL	1.000000	False	0.034290	0.094515	5.7122
dsl	1	2	RUNTIME_FAIL	1.000000	False	0.033495	0.104445	5.8502
dsl	1	3	RUNTIME_FAIL	1.000000	False	0.033840	0.093045	5.9771
dsl	1	4	RUNTIME_FAIL	1.000000	False	0.034185	0.087270	6.0985
dsl	1	5	RUNTIME_FAIL	1.000000	False	0.034350	0.090270	6.2231
dsl	1	6	RUNTIME_FAIL	1.000000	False	0.034350	0.087045	6.3445
dsl	2	1	RUNTIME_FAIL	1.000000	False	0.034290	0.097290	6.4761
dsl	2	2	RUNTIME_FAIL	1.000000	False	0.033495	0.089520	6.5991
dsl	2	3	RUNTIME_FAIL	1.000000	False	0.033840	0.089520	6.7225
dsl	2	4	RUNTIME_FAIL	1.000000	False	0.034185	0.092745	6.8494
dsl	2	5	RUNTIME_FAIL	1.000000	False	0.034350	0.086970	6.9707
dsl	2	6	RUNTIME_FAIL	1.000000	False	0.034350	0.079545	7.0846
dsl	3	1	RUNTIME_FAIL	1.000000	False	0.034290	0.088740	7.2077
dsl	3	2	RUNTIME_FAIL	1.000000	False	0.033495	0.089520	7.3307
dsl	3	3	RUNTIME_FAIL	1.000000	False	0.033990	0.081675	7.4463
dsl	3	4	RUNTIME_FAIL	1.000000	False	0.034185	0.104445	7.5850
dsl	3	5	RUNTIME_FAIL	1.000000	False	0.034350	0.090420	7.7097
dsl	3	6	RUNTIME_FAIL	1.000000	False	0.034350	0.090420	7.8345
dsl	4	1	RUNTIME_FAIL	1.000000	False	0.034290	0.085665	7.9545
dsl	4	2	RUNTIME_FAIL	1.000000	False	0.033495	0.081945	8.0699
dsl	4	3	RUNTIME_FAIL	1.000000	False	0.033840	0.082545	8.1863
dsl	4	4	RUNTIME_FAIL	1.000000	False	0.034185	0.090195	8.3107
dsl	4	5	RUNTIME_FAIL	1.000000	False	0.034350	0.092820	8.4378
dsl	4	6	RUNTIME_FAIL	1.000000	False	0.034350	0.086745	8.5589
