arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	RUNTIME_FAIL	1.000000	False	0.024210	0.075135	12.1667
english	0	2	RUNTIME_FAIL	1.000000	False	0.027465	0.089925	12.2841
english	0	3	RUNTIME_FAIL	1.000000	False	0.026385	0.071790	12.3823
english	0	4	RUNTIME_FAIL	1.000000	False	0.027405	0.087300	12.4970
english	0	5	RUNTIME_FAIL	1.000000	False	0.026220	0.082155	12.6053
english	0	6	TIMEOUT	1.000000	False	0.026145	0.110265	12.7417
english	1	1	COMPILE_FAIL	1.000000	False	0.025710	0.119685	12.8871
english	1	2	RUNTIME_FAIL	1.000000	False	0.026865	0.086355	13.0004
english	1	3	RUNTIME_FAIL	1.000000	False	0.025635	0.082890	13.1089
english	1	4	RUNTIME_FAIL	1.000000	False	0.025980	0.076515	13.2114
english	1	5	COMPILE_FAIL	1.000000	False	0.027645	0.084015	13.3230
english	1	6	RUNTIME_FAIL	1.000000	False	0.025995	0.083310	13.4323
english	2	1	RUNTIME_FAIL	1.000000	False	0.025410	0.085200	13.5430
english	2	2	RUNTIME_FAIL	1.000000	False	0.027015	0.101760	13.6717
english	2	3	RUNTIME_FAIL	1.000000	False	0.027810	0.085725	13.7853
english	2	4	RUNTIME_FAIL	1.000000	False	0.025830	0.085185	13.8963
english	2	5	RUNTIME_FAIL	1.000000	False	0.025170	0.073395	13.9948
english	2	6	RUNTIME_FAIL	1.000000	False	0.025320	0.079350	14.0995
english	3	1	COMPILE_FAIL	1.000000	False	0.023760	0.119295	14.2426
english	3	2	RUNTIME_FAIL	1.000000	False	0.027315	0.067545	14.3374
english	3	3	RUNTIME_FAIL	1.000000	False	0.027885	0.074640	14.4400
english	3	4	RUNTIME_FAIL	1.000000	False	0.028230	0.077190	14.5454
english	3	5	RUNTIME_FAIL	1.000000	False	0.026295	0.079620	14.6513
english	3	6	RUNTIME_FAIL	1.000000	False	0.029145	0.074265	14.7547
english	4	1	RUNTIME_FAIL	1.000000	False	0.024810	0.087105	14.8666
english	4	2	RUNTIME_FAIL	1.000000	False	0.025740	0.077280	14.9696
english	4	3	RUNTIME_FAIL	1.000000	False	0.025785	0.065445	15.0609
english	4	4	RUNTIME_FAIL	1.000000	False	0.025605	0.075240	15.1617
english	4	5	RUNTIME_FAIL	1.000000	False	0.025245	0.081810	15.2688
english	4	6	RUNTIME_FAIL	1.000000	False	0.025845	0.067830	15.3624
