arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	RUNTIME_FAIL	0.000000	False	0.025740	0.080730	10.2889
english	0	2	RUNTIME_FAIL	0.000000	False	0.025020	0.077400	10.3913
english	0	3	RUNTIME_FAIL	0.000000	False	0.025590	0.075120	10.4920
english	0	4	RUNTIME_FAIL	0.000000	False	0.025335	0.078750	10.5961
english	0	5	RUNTIME_FAIL	0.000000	False	0.025725	0.081270	10.7031
english	0	6	RUNTIME_FAIL	0.000000	False	0.025800	0.059685	10.7886
english	1	1	RUNTIME_FAIL	0.000000	False	0.024765	0.080085	10.8935
english	1	2	RUNTIME_FAIL	0.000000	False	0.024120	0.078045	10.9956
english	1	3	RUNTIME_FAIL	0.000000	False	0.026040	0.071610	11.0933
english	1	4	RUNTIME_FAIL	0.000000	False	0.024735	0.070605	11.1886
english	1	5	RUNTIME_FAIL	0.000000	False	0.025875	0.074175	11.2887
english	1	6	RUNTIME_FAIL	0.000000	False	0.025575	0.076590	11.3908
english	2	1	RUNTIME_FAIL	0.000000	False	0.024765	0.077385	11.4930
english	2	2	RUNTIME_FAIL	0.000000	False	0.025470	0.082515	11.6010
english	2	3	RUNTIME_FAIL	0.000000	False	0.024840	0.071070	11.6969
english	2	4	RUNTIME_FAIL	0.000000	False	0.025335	0.073350	11.7956
english	2	5	RUNTIME_FAIL	0.000000	False	0.025800	0.072585	11.8939
english	2	6	RUNTIME_FAIL	0.000000	False	0.025125	0.079125	11.9982
english	3	1	RUNTIME_FAIL	0.000000	False	0.024315	0.079395	12.1019
english	3	2	RUNTIME_FAIL	0.000000	False	0.025695	0.081960	12.2096
english	3	3	RUNTIME_FAIL	0.000000	False	0.025740	0.068850	12.3041
english	3	4	RUNTIME_FAIL	0.000000	False	0.024735	0.073530	12.4024
english	3	5	RUNTIME_FAIL	0.000000	False	0.026175	0.072585	12.5012
english	3	6	RUNTIME_FAIL	0.000000	False	0.025050	0.072510	12.5987
english	4	1	RUNTIME_FAIL	0.000000	False	0.025365	0.076530	12.7006
english	4	2	RUNTIME_FAIL	0.000000	False	0.025020	0.076800	12.8024
english	4	3	RUNTIME_FAIL	0.000000	False	0.025065	0.084840	12.9123
english	4	4	RUNTIME_FAIL	0.000000	False	0.025710	0.079200	13.0173
english	4	5	RUNTIME_FAIL	0.000000	False	0.025800	0.080760	13.1238
english	4	6	RUNTIME_FAIL	0.000000	False	0.025425	0.071460	13.2207
