arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	OK	4552.000000	True	0.033345	0.090390	0.9898
dsl	0	2	OK	4449.000000	True	0.033480	0.087240	1.1106
dsl	0	3	OK	4331.000000	True	0.033780	0.091365	1.2357
dsl	0	4	OK	1682.000000	True	0.036105	0.091095	1.3629
dsl	0	5	OK	4495.000000	False	0.034245	0.089715	1.4869
dsl	1	1	OK	4590.000000	True	0.033345	0.088440	1.6086
dsl	1	2	OK	4553.000000	True	0.033480	0.087615	1.7297
dsl	1	3	OK	4331.000000	True	0.033780	0.090465	1.8540
dsl	1	4	OK	4470.000000	False	0.036105	0.098670	1.9888
dsl	1	5	OK	4449.000000	False	0.034245	0.089265	2.1123
dsl	2	1	OK	4688.000000	True	0.035445	0.093660	2.2414
dsl	2	2	OK	4553.000000	True	0.033480	0.087615	2.3625
dsl	2	3	OK	4329.000000	True	0.033780	0.093465	2.4897
dsl	2	4	OK	4329.000000	False	0.034080	0.090540	2.6143
dsl	2	5	OK	4449.000000	False	0.034245	0.088440	2.7370
dsl	3	1	OK	1680.000000	True	0.035895	0.085125	2.8580
dsl	3	2	OK	4553.000000	False	0.033480	0.087615	2.9791
dsl	3	3	OK	4218.000000	False	0.033780	0.086115	3.0990
dsl	3	4	OK	4472.000000	False	0.034155	0.092580	3.2258
dsl	3	5	OK	4213.000000	False	0.036345	0.092085	3.3542
