arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
english	0	1	OK	7686.000000	True	0.022395	0.018195	5.0902
english	0	2	OK	2090.000000	True	0.018030	0.022170	5.1304
english	0	3	OK	2382.000000	False	0.014805	0.019590	5.1648
english	0	4	OK	7399.000000	False	0.011505	0.017595	5.1939
english	0	5	OK	7742.000000	False	0.020070	0.030450	5.2444
english	1	1	OK	6820.000000	True	0.024195	0.017730	5.2863
english	1	2	OK	2382.000000	True	0.014430	0.017400	5.3182
english	1	3	OK	7484.000000	False	0.023430	0.057015	5.3986
english	1	4	OK	7314.000000	False	0.024780	0.028350	5.4517
english	1	5	OK	3119.000000	False	0.018495	0.026835	5.4971
english	2	1	OK	6820.000000	True	0.019095	0.009135	5.5253
english	2	2	OK	2382.000000	True	0.016455	0.017805	5.5596
english	2	3	OK	2370.000000	True	0.022605	0.015150	5.5973
english	2	4	OK	7399.000000	False	0.016305	0.017355	5.6310
english	2	5	OK	8061.000000	False	0.018945	0.030975	5.6809
english	3	1	OK	6820.000000	True	0.017670	0.019050	5.7176
english	3	2	OK	6951.000000	False	0.015630	0.009990	5.7432
english	3	3	OK	6723.000000	True	0.023430	0.037590	5.8043
english	3	4	OK	7629.000000	False	0.021330	0.054435	5.8800
english	3	5	OK	7666.000000	False	0.020370	0.027285	5.9277
