arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
python	0	1	OK	1743.000000	True	0.090000	0.000000	3.4442
python	0	2	OK	7085.000000	False	0.081510	0.000000	3.5257
python	0	3	OK	2413.000000	False	0.082035	0.000000	3.6077
python	0	4	OK	1868.000000	False	0.072810	0.000000	3.6805
python	0	5	OK	1798.000000	False	0.084900	0.000000	3.7654
python	1	1	OK	7133.000000	True	0.080925	0.000000	3.8464
python	1	2	OK	1802.000000	True	0.084660	0.000000	3.9310
python	1	3	OK	4124.000000	False	0.084435	0.000000	4.0155
python	1	4	OK	2170.000000	False	0.084060	0.000000	4.0995
python	1	5	OK	6153.000000	False	0.086850	0.000000	4.1864
python	2	1	OK	7048.000000	True	0.083550	0.000000	4.2699
python	2	2	OK	6934.000000	True	0.092910	0.000000	4.3628
python	2	3	OK	3676.000000	True	0.087960	0.000000	4.4508
python	2	4	OK	6542.000000	False	0.097335	0.000000	4.5481
python	2	5	OK	7070.000000	False	0.071475	0.000000	4.6196
python	3	1	OK	7050.000000	True	0.094950	0.000000	4.7146
python	3	2	OK	5928.000000	True	0.065010	0.000000	4.7796
python	3	3	OK	2823.000000	True	0.081585	0.000000	4.8612
python	3	4	OK	1852.000000	True	0.092610	0.000000	4.9538
python	3	5	OK	2076.000000	False	0.095850	0.000000	5.0496
