arm	agent	iter	status	metric	kept	cost_propose	cost_compile	cumulative_domain
dsl	0	1	OK	1.012500	True	0.032610	0.081120	1.3452
dsl	0	2	OK	2.025000	True	0.032655	0.078105	1.4559
dsl	0	3	OK	1.012500	False	0.033015	0.079995	1.5690
dsl	0	4	OK	2.025000	False	0.032700	0.079350	1.6810
dsl	0	5	OK	1.012500	False	0.033465	0.079095	1.7936
dsl	1	1	TIMEOUT	0.000000	False	0.032835	0.070065	1.8965
dsl	1	2	OK	2.025000	True	0.032145	0.080700	2.0093
dsl	1	3	OK	1.012500	False	0.032505	0.074040	2.1159
dsl	1	4	OK	1.012500	False	0.033465	0.077775	2.2271
dsl	1	5	OK	2.025000	False	0.032865	0.079500	2.3395
dsl	2	1	TIMEOUT	0.000000	False	0.039210	0.071265	2.4499
dsl	2	2	OK	2.025000	True	0.032145	0.078000	2.5601
dsl	2	3	OK	2.025000	False	0.032505	0.067965	2.6606
dsl	2	4	OK	2.025000	False	0.032790	0.070590	2.7639
dsl	2	5	OK	2.025000	False	0.032865	0.078000	2.8748
dsl	3	1	TIMEOUT	0.000000	False	0.047010	0.081075	3.0029
dsl	3	2	OK	2.025000	True	0.032145	0.079725	3.1147
dsl	3	3	OK	2.025000	False	0.032505	0.068940	3.2162
dsl	3	4	OK	2.025000	False	0.032790	0.068940	3.3179
dsl	3	5	OK	2.025000	False	0.032865	0.079500	3.4303
